egoid,exercisealone_4,clubsports_4,exerciseothers_4,swimming_4
76521,,,,
52848,,,,
40231,,,,
65656,,,,
36117,Not at all,Not at all,Three times a week or more,Not at all
82587,1-2 times a week,Not at all,1-2 times a week,Not at all
14690,,,,
40569,,,,
26320,,,,
77532,1-2 times a week,Not at all,1-2 times a month,Not at all
92515,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
97844,Not at all,1-2 times a week,1-2 times a week,Not at all
33127,,,,
45958,,,,
49790,1-2 times a week,Not at all,1-2 times a week,Not at all
74251,,,,
28326,,,,
20507,,,,
71592,,,,
15181,Three times a week or more,1-2 times a week,Three times a week or more,Not at all
70209,,,,
78657,Three times a week or more,1-2 times a month,Three times a week or more,Not at all
21887,1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month
48154,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all
92953,,,,
90192,,,,
51495,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all
34344,,,,
21793,1-2 times a week,1-2 times a month,1-2 times a month,Not at all
37218,Not at all,1-2 times a month,Not at all,Not at all
17932,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a month
95026,,,,
66800,,,,
73693,,,,
80429,Less than 1-2 times a month,Not at all,Not at all,Not at all
75149,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all
61659,,,,
81420,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
33740,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
67709,1-2 times a week,Not at all,Three times a week or more,Not at all
36552,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
14301,1-2 times a week,1-2 times a week,Three times a week or more,Not at all
63138,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all
51298,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
74632,Less than 1-2 times a month,1-2 times a month,Three times a week or more,Not at all
16654,1-2 times a week,1-2 times a week,Three times a week or more,Not at all
54394,,,,
84768,Less than 1-2 times a month,Not at all,Three times a week or more,Not at all
29134,1-2 times a week,Three times a week or more,Three times a week or more,Less than 1-2 times a month
24029,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a week
35361,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
49086,Not at all,Not at all,Not at all,Not at all
67917,,,,
85503,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
60008,,,,
55881,,,,
22119,,,,
39285,,,,
22460,,,,
25172,Three times a week or more,1-2 times a week,Three times a week or more,Three times a week or more
77134,,,,
22143,,,,
93766,,,,
45097,,,,
26289,,,,
95490,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all
66979,,,,
23253,1-2 times a week,Not at all,1-2 times a week,Not at all
90079,1-2 times a week,Less than 1-2 times a month,1-2 times a week,Not at all
47584,Not at all,1-2 times a week,1-2 times a week,Not at all
97990,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all
39248,,,,
29354,,,,
91429,,,,
82269,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month
22842,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month
31311,,,,
33084,,,,
14279,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
91932,,,,
32404,,,,
73577,1-2 times a week,Not at all,1-2 times a week,Not at all
43177,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month
36501,,,,
26857,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
28327,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
42674,,,,
79897,,,,
64978,,,,
52302,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
97050,Three times a week or more,1-2 times a week,Three times a week or more,Not at all
46418,1-2 times a week,Three times a week or more,Three times a week or more,Not at all
86691,,,,
93002,1-2 times a month,Not at all,1-2 times a week,Not at all
56543,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
92618,,,,
17470,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a month
74211,,,,
35180,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all
89142,Not at all,Not at all,Not at all,Three times a week or more
24898,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
74413,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all
38824,,,,
51723,,,,
79352,,,,
30814,,,,
90502,,,,
94456,,,,
70661,,,,
50976,Three times a week or more,Less than 1-2 times a month,1-2 times a month,1-2 times a month
55533,,,,
12156,,,,
76485,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
33239,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
72570,,,,
67574,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
42231,,,,
84960,,,,
31033,,,,
10469,1-2 times a month,Not at all,1-2 times a month,Not at all
77789,1-2 times a month,Not at all,Not at all,Not at all
47024,,,,
88582,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month
83470,,,,
67015,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
26272,1-2 times a month,Not at all,1-2 times a month,Not at all
21909,,,,
88882,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
31985,,,,
91337,,,,
87664,,,,
19245,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
83748,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
49915,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
51865,,,,
78407,1-2 times a week,Not at all,Not at all,1-2 times a week
93787,1-2 times a month,Not at all,1-2 times a month,Not at all
52621,,,,
38914,,,,
19833,,,,
40864,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Less than 1-2 times a month
18707,,,,
26718,,,,
63347,Not at all,Not at all,Not at all,Not at all
35824,,,,
48826,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
93246,,,,
75341,,,,
35925,Three times a week or more,Not at all,Three times a week or more,Not at all
