egoid,SelfEsteem_6,Trust_6,SRQE_Ext_6,SRQE_Introj_6,SRQE_Ident_6,SRQE_Intrin_6,selsa_rom_6,selsa_fam_6,selsa_soc_6,selfreg_scale_6
73962,32.0,3.1666667,2.0,4.5,5.25,4.25,1.1101458,-0.11264808,-0.95099008,3.0
48969,31.0,2.6666667,1.0,3.75,4.25,4.75,1.0659167,-0.5730983,1.568475,2.8333333
10153,50.0,3.3333333,1.5,3.5,6.25,6.75,-0.18603709,-0.52583742,-0.78564441,2.1666667
64296,41.0,3.3333333,1.0,1.75,6.0,5.75,1.0417668,0.32586765,-0.24921989,2.25
17569,45.0,3.3333333,1.0,1.0,3.5,4.0,-1.5995954,-0.59657198,-0.66366839,2.3333333
77036,40.0,3.1666667,1.0,4.25,5.5,5.25,1.084553,0.69186932,0.27846384,2.5833333
53518,33.0,3.0,2.25,3.25,3.5,4.0,1.0511082,0.4560256,1.447771,3.0
82986,49.0,4.0,1.0,4.0,7.0,6.5,0.77345693,-0.52254146,-0.84779918,2.1666667
11402,24.0,2.6666667,2.0,3.0,4.75,4.0,0.50916839,3.5429723,1.9161782,3.6666667
38610,50.0,3.8333333,1.0,3.0,6.25,5.25,-1.6091596,-0.67629939,-0.35805511,1.3333334
96610,50.0,3.5,1.0,1.0,5.25,6.25,0.77345693,-0.52254146,-0.84779918,1.0
77711,24.0,3.0,2.0,5.25,3.75,2.25,0.86387712,2.5058742,-0.42719001,2.9166667
17020,39.0,3.3333333,1.0,3.5,5.0,5.25,-1.4546748,-0.23202629,0.73006982,2.1666667
48676,36.0,3.5,1.25,4.0,4.75,4.5,-1.629037,-0.51909643,-0.36926839,1.9166666
29885,39.0,3.0,1.75,5.0,6.5,6.5,0.78803951,-0.54859793,-0.79800355,2.5
79167,45.0,3.8333333,1.0,2.25,5.5,7.0,0.60252911,-0.53824055,-0.81774342,1.4166666
43710,38.0,3.6666667,1.0,2.75,5.5,5.5,-1.136655,-0.58239931,-0.69048649,2.0
