egoid,SelfEsteem_1,Trust_1,SRQE_Ext_1,SRQE_Introj_1,SRQE_Ident_1,SRQE_Intrin_1,selsa_rom_1,selsa_fam_1,selsa_soc_1,SelfEff_exercise_scale_1,SelfEff_diet_scale_1,selfreg_scale_1
30972,28.0,3.1666667,1.75,5.25,3.5,3.5,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,61.555557,51.448277,2.1666667
47142,36.0,3.1666667,1.0,4.0,6.0,6.0,0.76502895,-0.032411281,0.13082045,67.166664,49.172413,2.4166667
69217,38.0,4.3333335,1.25,4.75,5.5,3.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,88.833336,87.344826,2.0
69009,43.0,3.5,1.0,2.75,4.75,4.0,0.80840647,-0.4436664,-0.521384,29.111111,28.724138,2.0833333
84390,38.0,3.3333333,1.5,3.5,5.75,5.75,-0.23933302,-0.25459582,-0.8127954,27.444445,13.655172,1.6666666
74845,50.0,3.3333333,1.0,2.5,7.0,7.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,80.833336,83.620689,1.0833334
90905,28.0,4.0,3.75,5.5,6.25,4.75,0.92381334,3.6458845,-1.3153094,65.777779,50.965519,3.6666667
39659,48.0,3.0,2.25,5.5,6.5,4.5,0.71976924,-0.60841566,-0.8127104,73.666664,59.241379,1.8333334
62072,50.0,2.5,1.0,3.25,7.0,6.5,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,90.944443,66.206894,1.3333334
60396,38.0,3.8333333,1.25,3.75,6.25,6.0,0.84742218,-0.6599353,-0.80345267,94.611115,83.689651,1.75
61084,46.0,3.8333333,1.0,1.0,4.75,5.5,-1.6721231,-0.70376343,-0.68610728,90.0,93.620689,1.8333334
92412,43.0,3.3333333,1.5,3.0,6.25,5.75,0.73935002,-0.78377855,-0.0023623956,79.333336,58.379311,1.75
92038,47.0,3.3333333,2.5,6.0,6.75,6.5,0.82319832,-0.15642039,-0.91435379,71.470589,56.884617,1.6666666
33388,37.0,2.0,3.75,7.0,6.25,4.75,0.58545351,-0.92900908,1.2183897,63.388889,16.724138,3.0
31717,41.0,3.5,1.5,2.5,5.75,4.75,0.95152968,-0.68862206,-0.77559954,31.166666,42.724136,2.1666667
18324,36.0,3.8333333,3.0,4.75,6.0,6.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,81.222221,89.827583,2.0833333
86440,41.0,3.0,1.0,1.5,3.75,4.75,-1.0566347,0.18483832,0.42833853,46.055557,47.724136,2.5
95585,30.0,2.8333333,2.0,2.75,4.75,5.75,0.81674796,-0.88321608,0.062979698,45.944443,42.310345,3.25
29792,40.0,3.1666667,2.0,4.5,5.5,6.5,0.22012526,0.12856054,0.089675069,61.777779,38.103447,2.0833333
14737,43.0,2.6666667,2.25,4.0,6.75,5.5,-1.6686573,1.1248391,-1.0425465,48.888889,53.103447,2.4166667
28223,49.0,2.5,1.0,1.0,4.25,4.75,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,42.5,9.6551723,2.25
85708,43.0,2.6666667,1.0,3.0,5.5,5.5,-1.6862026,-0.19217435,-0.50064957,54.444443,56.586208,2.3333333
55452,26.0,3.1666667,1.0,6.25,6.25,6.25,0.083211727,0.61867249,-0.99810678,94.0,39.689655,2.75
20179,36.0,3.0,2.25,3.75,5.75,5.25,-0.33392915,0.25478578,0.12524408,78.388885,88.896553,2.25
78339,40.0,2.5,2.0,3.75,5.75,4.75,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,79.222221,51.86570104858757,2.2795390894957985
23696,43.0,3.1666667,1.0,5.0,6.5,6.75,-1.5251653,-0.68059045,-0.70502394,56.888889,70.655174,2.3333333
28653,45.0,3.0,5.25,3.75,7.0,7.0,-1.6721231,-0.70376343,-0.68610728,100.0,92.931038,1.0833334
84715,37.0,2.1666667,3.5,4.75,4.5,2.0,1.0919585,-0.8263554,0.52303618,11.833333,46.068966,3.5833333
95559,44.0,3.0,1.75,3.0,5.0,5.25,0.63688821,-0.60648179,-0.81883299,67.0,58.931034,2.0833333
30152,33.0,2.6666667,1.0,5.5,5.0,4.5,1.1038587,0.49952883,0.020730263,38.833332,42.517242,2.75
68764,40.0,3.0,1.0,3.0,4.5,6.0,-0.59235674,2.4959373,2.2785518,47.222221,37.620689,1.5833334
60367,36.0,2.3333333,4.5,4.75,5.0,6.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,70.833336,30.655172,3.1666667
36939,38.0,3.1666667,2.25,4.25,5.5,5.25,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,77.388885,54.310345,2.9166667
59592,31.0,3.6666667,1.0,2.75,5.25,4.5,0.96095496,-0.15412229,-0.36566582,40.833332,29.827587,2.9166667
22897,35.0,3.5,3.0,4.75,6.0,5.75,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,54.722221,60.517242,2.25
89652,47.0,3.1666667,1.0,1.0,3.25,4.0,-0.071979813,-0.2089095,-0.85759979,96.111115,42.172413,1.75
28724,36.0,3.1666667,1.0,4.0,5.0,4.0,-1.6721231,-0.70376343,-0.68610728,43.722221,46.862068,2.0
92895,35.0,3.3333333,5.25,6.0,6.5,6.5,1.1981477,-0.58934611,-0.83803099,39.055557,35.931034,2.3333333
69831,38.0,3.8333333,1.0,5.0,6.75,6.0,-0.41646814,-0.6235081,-0.77446502,70.555557,59.482758,2.0
59178,41.0,3.0,1.0,4.0,7.0,7.0,0.82822067,-0.73826003,-0.74438381,81.611115,60.896553,1.0833334
50072,28.0,3.5,1.0,3.25,6.0,4.5,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,73.611115,69.689651,1.8333334
44927,36.0,3.5,1.5,4.0,5.75,4.25,1.0787356,-0.25540528,-0.8709982,50.444443,29.344828,2.0833333
71894,24.0,3.0,1.0,2.25,5.75,5.0,0.91951793,2.6769178,1.6915828,31.666666,43.068966,3.1666667
76790,38.0,2.8333333,1.75,3.5,5.0,5.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,95.833336,78.103447,1.8333334
78428,33.0,3.5,1.0,3.75,5.75,6.5,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,86.5,54.689655,2.6666667
66676,34.0,2.8333333,1.5,3.0,6.25,6.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,81.0,69.0,2.3333333
95930,36.0,3.5,2.25,3.25,5.5,5.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,63.5,38.689655,2.0833333
