egoid,usetobacco_8,usevape_8,usebeer_8,usewine_8,usedrugs_8,usedrugs_prescr_8,usecaffine_8
63138,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month
51298,1-2 times a month,1-2 times a week,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
74632,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
16654,,,,,,,
54394,,,,,,,
84768,,,,,,,
29134,,,,,,,
24029,,,,,,,
35361,,,,,,,
87056,,,,,,,
49086,Not at all,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Not at all
67917,,,,,,,
85503,Not at all,Not at all,1-2 times a week,Three times a week or more,Not at all,Not at all,1-2 times a week
60008,,,,,,,
66542,,,,,,,
55881,,,,,,,
86265,,,,,,,
10732,,,,,,,
22119,,,,,,,
50797,,,,,,,
39564,,,,,,,
39285,,,,,,,
22460,,,,,,,
25172,,,,,,,
77134,,,,,,,
22143,,,,,,,
93766,,,,,,,
45097,,,,,,,
26289,,,,,,,
95490,,,,,,,
66979,,,,,,,
23253,Less than 1-2 times a month,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
12900,,,,,,,
90079,,,,,,,
47584,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
97990,,,,,,,
39248,,,,,,,
29354,,,,,,,
25743,,,,,,,
91429,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
82269,,,,,,,
22842,Less than 1-2 times a month,1-2 times a month,1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a week
31311,,,,,,,
32423,,,,,,,
33084,,,,,,,
14279,Not at all,Not at all,Three times a week or more,1-2 times a week,Less than 1-2 times a month,1-2 times a month,1-2 times a week
91932,,,,,,,
32404,,,,,,,
73577,,,,,,,
70561,,,,,,,
43177,,,,,,,
36501,,,,,,,
26857,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
28327,Not at all,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
42674,,,,,,,
79897,,,,,,,
64978,,,,,,,
70434,,,,,,,
