egoid,exercisealone_5,exerciseothers_5,clubsports_5,swimming_5
35180,1-2 times a month,1-2 times a month,Not at all,Not at all
89142,Not at all,Three times a week or more,1-2 times a week,Three times a week or more
24898,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
74413,Three times a week or more,Not at all,Not at all,Not at all
38824,,,,
51723,,,,
79352,1-2 times a month,1-2 times a month,Not at all,Not at all
30814,,,,
90502,,,,
94456,,,,
70661,,,,
50976,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
55533,,,,
12156,1-2 times a week,1-2 times a month,1-2 times a month,Not at all
76485,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
33239,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
72570,Not at all,Not at all,Not at all,Not at all
67574,1-2 times a week,1-2 times a week,1-2 times a month,Not at all
42231,,,,
44639,,,,
64072,,,,
84960,,,,
43809,,,,
27941,,,,
31033,,,,
39301,,,,
10469,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
77789,Not at all,Not at all,Not at all,Not at all
47024,1-2 times a week,Three times a week or more,Not at all,Not at all
88582,,,,
73897,,,,
83470,,,,
67015,1-2 times a week,1-2 times a week,Not at all,1-2 times a month
26272,,,,
21909,,,,
