egoid,exercisealone_3,clubsports_3,exerciseothers_3,swimming_3,exercise_perceivedchange_3
11002,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,increased a bit
72850,1-2 times a week,1-2 times a month,Not at all,Not at all,
15134,Three times a week or more,Three times a week or more,1-2 times a week,Not at all,has stayed about the same
69124,,,,,
34062,Less than 1-2 times a month,Not at all,Three times a week or more,Three times a week or more,has stayed about the same
18111,1-2 times a week,Not at all,1-2 times a month,Not at all,increased a bit
42646,Three times a week or more,Less than 1-2 times a month,1-2 times a week,Not at all,increased a good deal
63922,,,,,
59097,,,,,
72912,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
91484,1-2 times a month,Not at all,1-2 times a month,Not at all,has stayed about the same
24833,1-2 times a week,1-2 times a month,1-2 times a week,Less than 1-2 times a month,has stayed about the same
21971,,,,,
13928,,,,,
84502,1-2 times a month,Not at all,Three times a week or more,Not at all,increased a bit
64090,,,,,
52123,,,,,
78783,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,has stayed about the same
25197,Three times a week or more,Not at all,Three times a week or more,Not at all,has stayed about the same
35872,,,,,
23270,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a week,increased a bit
69807,,,,,
92716,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,has stayed about the same
66061,,,,,
56058,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Not at all,has stayed about the same
57854,,,,,
68679,,,,,
90750,,,,,
70125,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all,increased a good deal
67192,,,,,
12029,1-2 times a month,Not at all,Not at all,Not at all,increased a good deal
70745,1-2 times a month,Not at all,1-2 times a month,Not at all,increased a good deal
93856,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,has stayed about the same
10237,1-2 times a week,Not at all,Three times a week or more,Not at all,has stayed about the same
97448,1-2 times a month,Not at all,1-2 times a week,Not at all,increased a bit
89165,,,,,
97280,,,,,
54098,1-2 times a week,1-2 times a month,1-2 times a month,Not at all,
66156,1-2 times a week,Not at all,Not at all,Not at all,has stayed about the same
67177,1-2 times a week,Not at all,1-2 times a week,Not at all,increased a bit
22540,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
15586,1-2 times a week,Not at all,1-2 times a week,Not at all,has stayed about the same
18611,Three times a week or more,Not at all,Not at all,Three times a week or more,increased a bit
87328,1-2 times a week,Not at all,Not at all,Not at all,increased a bit
88963,,,,,
57045,1-2 times a week,Three times a week or more,1-2 times a week,Not at all,
49497,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,increased a bit
15031,,,,,
79607,1-2 times a week,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
41952,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all,increased a bit
17183,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
22408,,,,,
54435,1-2 times a week,1-2 times a month,1-2 times a week,Not at all,increased a bit
38554,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,
38293,1-2 times a week,Three times a week or more,Three times a week or more,Not at all,increased a bit
33785,Three times a week or more,Not at all,1-2 times a week,1-2 times a month,has stayed about the same
44310,,,,,
33009,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a month,increased a bit
31294,Three times a week or more,1-2 times a month,1-2 times a week,Less than 1-2 times a month,has stayed about the same
65143,,,,,
91726,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,increased a bit
59355,1-2 times a month,1-2 times a month,Three times a week or more,Not at all,has stayed about the same
96184,1-2 times a month,Not at all,1-2 times a month,Not at all,increased a bit
92339,,,,,
70005,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,has stayed about the same
64157,Three times a week or more,Not at all,Three times a week or more,1-2 times a month,
68050,,,,,
46151,,,,,
79395,Three times a week or more,1-2 times a week,Three times a week or more,Not at all,has stayed about the same
59863,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,increased a bit
63419,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
22913,1-2 times a week,Not at all,1-2 times a week,Not at all,has stayed about the same
91313,1-2 times a week,1-2 times a week,1-2 times a week,Less than 1-2 times a month,
14511,Three times a week or more,1-2 times a week,Three times a week or more,Not at all,increased a bit
73962,1-2 times a week,Three times a week or more,1-2 times a month,Not at all,has stayed about the same
48969,Three times a week or more,Not at all,Not at all,Not at all,has stayed about the same
22093,,,,,
32919,,,,,
79731,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
64296,Less than 1-2 times a month,1-2 times a month,1-2 times a week,Not at all,increased a bit
23487,,,,,
17569,Three times a week or more,1-2 times a week,Three times a week or more,Not at all,increased a bit
77036,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,increased a good deal
53518,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all,
92340,1-2 times a week,Less than 1-2 times a month,1-2 times a week,Not at all,increased a bit
37485,,,,,
33953,,,,,
53333,,,,,
82986,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,increased a bit
61772,1-2 times a week,Three times a week or more,Three times a week or more,Less than 1-2 times a month,has stayed about the same
47280,,,,,
70566,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a week,has stayed about the same
82964,,,,,
11402,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,increased a good deal
38610,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,increased a bit
96610,,,,,
77711,Not at all,1-2 times a week,Three times a week or more,Not at all,increased a bit
78667,,,,,
17020,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
48676,1-2 times a week,Not at all,1-2 times a week,1-2 times a week,has stayed about the same
29885,Three times a week or more,Not at all,Three times a week or more,Not at all,has stayed about the same
79167,Three times a week or more,Not at all,Three times a week or more,1-2 times a week,has stayed about the same
65061,,,,,
43710,Not at all,Not at all,Three times a week or more,Three times a week or more,has stayed about the same
22455,Three times a week or more,Not at all,Not at all,Not at all,increased a good deal
82819,,,,,
67771,,,,,
57443,1-2 times a week,Not at all,1-2 times a week,Not at all,increased a good deal
96469,Less than 1-2 times a month,Not at all,1-2 times a week,Not at all,has stayed about the same
94579,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a week,has stayed about the same
29257,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,has stayed about the same
23518,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
80484,,,,,
49539,Less than 1-2 times a month,Not at all,1-2 times a month,Less than 1-2 times a month,has stayed about the same
63904,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
82490,1-2 times a week,Not at all,Three times a week or more,Not at all,increased a bit
20335,Three times a week or more,Less than 1-2 times a month,1-2 times a week,Not at all,has stayed about the same
35031,Three times a week or more,1-2 times a week,1-2 times a month,Not at all,has stayed about the same
88185,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Not at all,increased a bit
35344,Three times a week or more,1-2 times a month,1-2 times a week,Less than 1-2 times a month,has stayed about the same
31175,1-2 times a month,Not at all,Not at all,Not at all,increased a bit
41167,,,,,
98325,,,,,
36963,,,,,
50666,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Not at all,
98624,1-2 times a month,Not at all,1-2 times a month,Not at all,increased a bit
42617,Three times a week or more,Not at all,Not at all,Not at all,has stayed about the same
58793,Three times a week or more,Not at all,1-2 times a week,Not at all,increased a bit
25125,1-2 times a month,1-2 times a month,Three times a week or more,Less than 1-2 times a month,has decreased a bit
25548,Three times a week or more,1-2 times a week,1-2 times a month,Not at all,increased a bit
25966,1-2 times a week,Not at all,1-2 times a week,1-2 times a month,has stayed about the same
96689,1-2 times a week,Not at all,1-2 times a week,Not at all,increased a bit
43581,,,,,
75578,Not at all,Not at all,1-2 times a week,Not at all,has stayed about the same
43507,,,,,
91551,,,,,
19030,,,,,
33657,1-2 times a month,Three times a week or more,Three times a week or more,Three times a week or more,increased a bit
76521,,,,,
52848,,,,,
40231,,,,,
