egoid,AcademicPeriod,CourseReferenceNumber,FinalGrade
94641,201710,11316,B+
94641,201720,27441,B
94641,201520,22326,B+
94641,201610,20560,A
94641,201720,29703,A
94641,201720,27031,A
94641,201820,27264,A-
94641,201720,29705,A-
94641,201610,10497,A-
94641,201810,14525,B
94641,201820,31326,A
94641,201820,21582,A-
94641,201510,12421,A-
94641,201520,21451,B+
94641,201710,16702,A
94641,201610,20450,B+
94641,201520,21343,A-
94641,201620,29419,A
94641,201510,20466,A
94641,201820,25378,A
94641,201710,19939,A-
94641,201520,30260,A
94641,201520,25673,A-
94641,201710,10853,A
44872,201720,21166,A
44872,201710,15776,A
44872,201720,23996,A
44872,201510,16066,A
44872,201710,13155,S
44872,201820,23492,A
44872,201520,21748,A-
44872,201710,21361,A
44872,201610,12505,A-
44872,201600,3996,A-
44872,201510,13328,A-
44872,201720,24988,A
44872,201620,23310,A
44872,201720,24826,A
44872,201720,29757,A
44872,201510,11490,A
44872,201810,17453,A
44872,201520,24583,A
44872,201810,15188,S
44872,201720,26204,A
44872,201620,23460,A
44872,201810,16699,A
44872,201820,25315,A
44872,201610,11087,A-
44872,201720,29561,B
44872,201710,15599,A
44872,201810,19038,A
44872,201620,23265,A-
44872,201710,12809,A
44872,201820,28464,A
44872,201510,13629,A
44872,201820,23710,A
44872,201620,26393,A-
44872,201810,13421,A
44872,201620,22462,A
44872,201620,24320,A
44872,201520,21323,A-
44872,201520,23066,A-
44872,201610,13476,A
44872,201610,14425,A
44872,201510,20420,A
44872,201610,14056,A
44872,201520,30365,A
44872,201810,13770,A
44872,201720,23937,A
44872,201810,11039,A
44872,201610,13471,B+
44872,201510,10090,A
44872,201620,20572,A
44872,201620,20096,A-
44872,201610,20512,A
44872,201820,23083,S
44872,201720,21104,S
44872,201520,21372,A
44872,201820,31357,A-
44872,201810,12317,A-
57325,201810,11942,S
57325,201710,20015,A-
57325,201710,13522,A
57325,201610,12383,A
57325,201520,30330,A
57325,201720,22905,S
57325,201720,23293,A
57325,201710,10568,A
57325,201610,11730,S
57325,201520,20805,A
57325,201620,21234,A
57325,201710,20013,C+
57325,201610,14459,A
57325,201620,20935,A-
57325,201510,11791,S
57325,201720,20015,A-
57325,201810,12915,A
57325,201520,27030,S
57325,201710,12593,S
57325,201820,21381,S
57325,201510,20483,A
57325,201510,12385,S
57325,201820,21815,A
57325,201510,19522,A
57325,201820,31048,A
57325,201810,11390,A
57325,201610,13295,A
57325,201620,21798,S
57325,201510,12104,A
57325,201610,11339,B+
57325,201610,13471,B
57325,201720,21469,S
57325,201820,20076,A-
57325,201520,23519,S
57325,201720,21252,B
57325,201520,21331,A
57325,201720,21431,S
57325,201720,29757,A
57325,201720,29561,B
57325,201620,22467,A
57325,201810,19329,A-
57325,201610,12790,S
57325,201510,11536,A-
57325,201520,26875,A
57325,201720,29738,A-
57325,201710,17883,A
57325,201820,21900,S
57325,201610,11695,A
57325,201520,23760,A
57325,201620,23142,S
57325,201810,19788,A
57325,201720,22587,A
57325,201820,31552,A-
57325,201720,21686,S
57325,201810,16607,A-
57325,201720,23937,B
57325,201620,23263,A
57325,201720,20712,A
57325,201520,21615,B+
57325,201520,21914,S
57325,201510,15168,B
57325,201710,14594,A-
57325,201710,20062,B+
57325,201520,23059,A
57325,201710,11670,S
57325,201820,23020,A
57325,201820,21385,S
57325,201620,23260,B+
57325,201820,21353,S
57325,201620,20572,B-
57325,201810,11596,S
57325,201510,15778,B+
57325,201810,11039,A-
57325,201700,3898,A
57325,201510,13328,C
57325,201620,20967,B+
57325,201620,29736,A
57325,201610,10897,A
57325,201520,29033,B+
57325,201820,21902,S
57325,201820,21585,S
57325,201610,12271,S
57325,201810,12361,S
57325,201510,13995,A
57325,201610,13474,A-
57325,201820,21386,S
57325,201820,21901,A
57325,201710,12100,S
57325,201610,11087,A-
57325,201820,31789,A
57325,201720,21468,S
57325,201620,20058,A
57325,201520,21654,S
57325,201620,21561,S
57325,201810,11538,S
57325,201710,11250,A
57325,201620,26000,S
57325,201520,23066,B+
27306,201900,3241,
27306,201820,23645,A
27306,201720,24001,A
27306,201510,20421,A
27306,201520,20640,A-
27306,201710,14108,A
27306,201910,14890,
27306,201620,30069,B+
