egoid,major1rc_6,major2rc_6,degreeintent_6,majorevent_6
23518,137.0,506.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
80484,,,,
49539,134.0,,Ph.D or Ed.D.,no
63904,504.0,104.0,"M.D., D.O., D.D.S., or D.V.M.",no
82490,401.0,,"Bachelor's degree (B.A., B.S., etc.)",yes
20335,305.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
35031,406.0,108.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
88185,,,,
35344,302.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
31175,,,,
41167,,,,
98325,,,,
36963,,,,
50666,137.0,140.0,"Master's Degree (M.A., M.S., MBA, etc.)",
98624,,,,
42617,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no
58793,,,,
25125,131.0,,Ph.D or Ed.D.,no
25548,302.0,,"Bachelor's degree (B.A., B.S., etc.)",no
25966,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no
95444,,,,
96689,137.0,135.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
22587,,,,
43581,507.0,510.0,"M.D., D.O., D.D.S., or D.V.M.",no
75578,,,,
43507,,,,
91551,,,,
30676,,,,
19030,,,,
33657,117.0,,"Bachelor's degree (B.A., B.S., etc.)",no
76521,,,,
52848,,,,
40231,,,,
65656,304.0,,Ph.D or Ed.D.,yes
30610,,,,
36117,506.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
82587,405.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes
14690,,,,
40569,,,,
97021,,,,
26320,406.0,,"Bachelor's degree (B.A., B.S., etc.)",yes
77532,110.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
92515,501.0,,"M.D., D.O., D.D.S., or D.V.M.",no
97844,301.0,,"Bachelor's degree (B.A., B.S., etc.)",no
81647,,,,
33127,,,,
45958,,,,
49790,,,,
74251,,,,
28326,,,,
20507,,,,
71592,,,,
15181,502.0,,Ph.D or Ed.D.,no
70209,,,,
78657,,,,
21887,,,,
48154,507.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
92953,,,,
90192,,,,
51495,309.0,,"Bachelor's degree (B.A., B.S., etc.)",no
34344,,,,
21793,,,,
37218,,,,
17932,125.0,,J.D. (Law),no
95026,509.0,,"M.D., D.O., D.D.S., or D.V.M.",yes
66800,,,,
73693,,,,
80429,403.0,501.0,"Bachelor's degree (B.A., B.S., etc.)",no
75149,130.0,406.0,"Bachelor's degree (B.A., B.S., etc.)",no
61659,,,,
81420,,,,
33740,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no
37979,,,,
87192,,,,
67709,111.0,,"Bachelor's degree (B.A., B.S., etc.)",no
36552,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
14301,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no
